#Code,Name,Lat,Lon,Date Interval
MMB_hr,MEMAMBETSU,43.91,144.19,1958-01-01 - 2007-12-31
MID_hr,MIDWAY (MID),28.22,-177.37,2000-01-01 - 2002-12-31
MNK_hr,MINSK,54.5,27.88,1961-01-01 - 1990-11-30
MIR_hr,MIRNY,-66.55,93.02,1956-07-01 - 1997-12-31
MLT_hr,MISALLAT,29.52,30.89,2002-01-01 - 2003-12-31
MIZ_hr,MIZUSAWA,39.01,141.08,1981-01-01 - 2001-08-31
MFP_hr,MOCA,3.34,8.66,1966-01-01 - 1969-10-31
MOL_hr,MOLODEZHNAYA,-67.67,45.85,1968-01-01 - 1977-12-31
MCP_hr,MONTE CAPELLINO,44.55,8.96,1958-07-01 - 1959-12-31
MOS_hr,MOSCOW (MOS),55.48,37.31,1958-01-01 - 1989-12-31
MBC_hr,MOULD BAY,76.2,-119.4,1962-08-01 - 1997-12-31
MUT_hr,MUNTINLUPA,14.38,121.02,1963-01-01 - 1972-12-31
MUB_hr,MURCHISON BAY,80.5,18.25,1957-08-01 - 1959-07-31
MMK_hr,MURMANSK,68.95,33.05,1959-01-01 - 1990-11-30
NCK_hr,NAGYCENK,47.63,16.72,1993-01-01 - 2007-12-31
NAQ_hr,NARSSARSSUAQ (NAQ),61.1,-45.2,1970-01-01 - 2007-12-31
VNA_hr,NEUMAYER STATION,-70.65,-8.75,2001-01-01 - 2001-12-31
NEW_hr,NEWPORT,48.26,-117.12,1970-01-01 - 2007-12-31
NGP_hr,NGP,0,0,2000-01-01 - 2004-12-31
NGK_hr,NIEMEGK,52.07,12.68,1910-01-01 - 2007-12-31
NWS_hr,NORWAY STATION,-70.5,-2.53,1960-01-01 - 1962-02-28
NVL_hr,NOVOLAZAREVSKAYA,-70.77,11.83,1961-02-01 - 1978-12-31
NVS_hr,NOVOSIBIRSK,55.03,82.9,1971-01-01 - 2007-12-31
NUR_hr,NURMIJARVI,60.51,24.66,1953-01-01 - 2007-12-31
OAS_hr,OASIS,-66.3,100.72,1957-06-01 - 1958-11-30
ODE_hr,ODESSA,46.78,30.88,1957-07-01 - 1991-12-31
OTT_hr,OTTAWA,45.4,-75.55,1978-01-01 - 2007-12-31
POD_hr,P. TUNGUSKA,61.6,90,1976-01-01 - 1991-12-31
PPT_hr,PAMATAI,-17.57,-149.57,1985-01-01 - 2007-12-31
PAG_hr,PANAGYURISHTE,42.52,24.18,2007-01-01 - 2007-12-31
PET_hr,PETROPAVLOVSK,52.9,158.43,1975-01-01 - 1990-12-31
PHU_hr,PHU THUY,21.028,105.951,1996-01-01 - 2007-12-31
PIL_hr,PILAR,-31.67,-63.88,1957-07-01 - 1968-12-31
PIO_hr,PIONERSKAYA,-69.73,95.5,1957-07-01 - 1972-12-31
PND_hr,PONDICHERRY,11.92,79.92,2000-01-01 - 2004-12-31
CZT_hr,PORT ALFRED,-46.43,51.87,1974-01-01 - 2007-12-31
PMG_hr,PORT MORESBY,-9.41,147.15,1958-04-01 - 1991-12-31
PST_hr,PORT STANLEY,-51.703,-57.89,1994-02-01 - 2007-12-31
PAF_hr,PORT-AUX-FRANCAIS,-49.349,70.2,1957-01-01 - 2007-12-31
PBQ_hr,POSTE DE LA BELI (PBQ),55.3,-77.8,1984-09-01 - 2007-06-30
PDB_hr,POSTE DE LA BELI (PDB),55.27,-77.75,1988-01-01 - 1999-01-31
PCU_hr,PRICE,39.6,-110.83,1957-06-01 - 1959-02-28
PRU_hr,PRUHONICE,49.99,14.55,1957-07-01 - 1959-12-31
QSB_hr,QSAYBEH,33.87,35.644,2000-01-01 - 2007-11-30
RES_hr,RESOLUTE BAY (RES),74.7,-94.9,1960-01-01 - 2007-12-31
RBD_hr,ROI BAUDOUIN,-70.43,24.31,1958-05-01 - 1966-12-31
RSV_hr,RUDE SKOV,55.84,12.46,1959-01-01 - 1963-12-31
SFS_hr,SAN FERNANDO,36.46,-6.2,1957-07-01 - 2007-12-31
SJG_hr,SAN JUAN,18.38,-66.12,1926-01-01 - 2007-12-31
SPT_hr,SAN PABLO-TOLEDO,39.547,-4.35,1997-01-01 - 2007-12-31
SNA_hr,SANAE,-70.3,-2.37,1961-01-01 - 1989-12-31
SBA_hr,SCOTT BASE,-77.85,166.78,1990-01-01 - 2007-12-31
SSH_hr,SHESHAN,31.1,121.19,1932-06-01 - 1987-12-31
SIL_hr,SILCHAR,24.93,92.82,2000-01-01 - 2004-12-31
SSO_hr,SIMOSATO,33.58,135.94,1957-07-01 - 1959-12-31
SIT_hr,SITKA,57.05,-135.33,1906-01-01 - 2007-12-31
SOD_hr,SODANKYLA,67.37,26.65,1914-01-01 - 2007-12-31
SPA_hr,SOUTH POLE,-89.99,-13.32,1959-01-01 - 1971-12-31
STJ_hr,ST JOHNS,47.59,-52.68,1978-01-01 - 2007-12-31
SUA_hr,SURLARI,44.68,26.25,1961-08-01 - 2007-12-31
SVD_hr,SVERDLOVSK,56.73,61.07,1930-01-01 - 1962-12-31
SWI_hr,SWIDER,52.12,21.25,1957-07-01 - 1959-12-31
SHU_hr,Shumagin,0,0,2006-01-01 - 2007-12-31
TAM_hr,TAMANRASSET,22.79,5.53,1993-01-01 - 2007-12-31
TAN_hr,TANANARIVE,-18.92,47.55,1991-01-01 - 2007-12-31
TKT_hr,TASHKENT,41.33,69.62,1957-07-01 - 1991-12-31
TTB_hr,TATUOCA,-1.2,-48.51,1957-08-01 - 1959-12-31
TFS_hr,TBILISI,42.09,44.71,1959-01-01 - 1996-12-31
TEO_hr,TEOLOYUCAN,19.75,-99.18,2002-01-01 - 2007-12-31
THL_hr,THULE,76.53,-68.89,1950-01-01 - 2007-12-31
THY_hr,TIHANY,46.9,17.89,1991-01-01 - 2007-12-31
TKH_hr,TIKHAYA BAY,80.33,52.8,1957-01-01 - 1958-12-31
TIR_hr,TIRUNELVELI,8.67,77.82,2000-01-01 - 2004-12-31
TIK_hr,TIXIE BAY,71.58,129,1957-01-01 - 1991-12-31
TOL_hr,TOLEDO,39.88,-4.05,1957-07-01 - 1959-12-31
TND_hr,TONDANO,1.293,124.925,2001-05-01 - 2003-12-31
THJ_hr,TONGHAI,24,102.7,2000-01-01 - 2000-12-31
TOO_hr,TOOLANGI,-37.53,145.47,1924-01-01 - 1957-12-31
TRW_hr,TRELEW,-43.25,-65.31,1993-09-01 - 2007-12-31
TRD_hr,TRIVANDRUM,8.48,76.95,1992-01-01 - 1994-12-31
TRO_hr,TROMSO,69.66,18.95,1988-01-01 - 2004-12-31
TSU_hr,TSUMEB,-19.22,17.7,1992-03-01 - 2007-12-31
TUC_hr,TUCSON,32.25,-110.83,1909-11-01 - 2007-12-31
UJJ_hr,UJJAIN,23.18,75.78,1992-01-01 - 2003-04-30
UPS_hr,UPPSALA (FIBY),50.903,17.353,2003-01-01 - 2007-12-31
VAL_hr,VALENTIA,51.93,-10.25,1991-01-01 - 2007-12-31
VSS_hr,VASSOURAS,-22.4,-43.65,1998-10-01 - 2007-12-31
VIC_hr,VICTORIA,48.52,-123.42,1978-01-01 - 2007-12-31
VQS_hr,VIEQUES,18.15,-65.45,1906-01-01 - 1965-12-31
VSK_hr,VISAKHAPATNAM,17.67,83.32,2000-01-01 - 2004-12-31
VLA_hr,VLADIVOSTOK,43.78,132.03,1960-01-01 - 1960-12-31
VOS_hr,VOSTOK,-78.45,106.87,1960-01-01 - 1998-12-31
WAT_hr,WATHEROO,-30.32,115.88,1919-01-01 - 1957-12-31
WIK_hr,WIEN-KOBENZL,48.2,16.24,1957-07-01 - 2000-12-31
WIL_hr,WILKES,-66.25,110.58,1957-07-01 - 1966-12-31
WNG_hr,WINGST,53.74,9.07,1981-01-01 - 2007-12-31
WIT_hr,WITTEVEEN,52.81,6.67,1938-07-01 - 1984-12-31
WHN_hr,WUHAN,30.53,114.56,2000-01-01 - 2000-12-31
YAK_hr,YAKUTSK,62.02,129.72,1957-07-01 - 1997-12-31
YKC_hr,YELLOWKNIFE (YKC),62.4,-114.5,1983-01-01 - 2007-12-31
YSS_hr,YUZHNO SAKHALINS,46.95,142.72,1957-07-01 - 1959-12-31
