#Code,Name,Lat,Lon,Date Interval
PHU_min,PHU THUY,21.028,105.951,1996-01-01 - 2012-12-31
PNW_min,PINAWA,50.2,-96.04,1996-09-01 - 1996-09-30
CZT_min,PORT ALFRED,-46.43,51.87,1974-01-01 - 2011-12-31
PST_min,PORT STANLEY,-51.703,-57.89,1994-01-01 - 2012-12-31
PAF_min,PORT-AUX-FRANCAIS,-49.349,70.2,1969-01-01 - 2008-12-31
PBQ_min,POSTE DE LA BELI (PBQ),55.3,-77.8,1984-09-01 - 2007-06-30
PDB_min,POSTE DE LA BELI (PDB),55.27,-77.75,1984-09-01 - 1999-12-31
POS_min,POSTE DE LA BELI (POS),55.27,-77.78,2002-01-01 - 2002-04-30
QSB_min,QSAYBEH,33.87,35.644,2000-01-01 - 2007-11-30
RBL_min,RABBIT LAKE,58.22,-103.67,1996-09-01 - 1996-09-30
RIT_min,RANKIN INLET,62.8,-92.33,1996-09-01 - 1996-09-30
REB_min,RESOLUTE BAY (REB),74.7,-94.9,2002-01-01 - 2002-04-30
RES_min,RESOLUTE BAY (RES),74.7,-94.9,1978-01-01 - 2012-12-31
SAH_min,SACHS HARBOUR,72,-125,1979-03-01 - 2004-08-31
SAJ_min,SAJ,18.12,-66.15,2002-01-01 - 2002-04-30
SAL_min,SALEKHARD,66.6,66.69,1987-07-01 - 1990-11-30
SFS_min,SAN FERNANDO,36.46,-6.2,2005-01-01 - 2012-12-31
SJG_min,SAN JUAN,18.38,-66.12,1979-03-01 - 2010-12-31
SPT_min,SAN PABLO-TOLEDO,39.547,-4.35,1997-01-01 - 2012-12-31
SBT_min,SBT,71.42,72.12,1987-07-01 - 1990-08-31
SBA_min,SCOTT BASE,-77.85,166.78,1991-01-01 - 2012-12-31
SEY_min,SEYKHA,70.1,72.5,1988-03-01 - 1993-04-30
SIT_min,SITKA,57.05,-135.33,1978-01-01 - 2010-12-31
SOD_min,SODANKYLA,67.37,26.65,1980-01-01 - 2009-01-31
STJ_min,ST JOHNS,47.59,-52.68,1978-01-01 - 2012-12-31
SUA_min,SURLARI,44.68,26.25,1999-01-01 - 2007-12-31
SYO_min,SYOWA STATION,-69.01,39.59,1981-04-01 - 1995-03-31
SHU_min,Shumagin,0,0,2006-01-01 - 2010-12-31
TAK_min,TAK,69.541,-93.55,1996-09-01 - 1996-09-30
TAL_min,TALARA,-4.63,-81.3,2002-01-01 - 2002-06-30
TLK_min,TALKEETNA,62.3,-150.1,1979-03-01 - 2004-08-31
TAM_min,TAMANRASSET,22.79,5.53,1993-01-01 - 2012-12-31
TAN_min,TANANARIVE,-18.92,47.55,1993-01-01 - 2007-12-31
